provider,sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript
Amazon,The heat experiment was then aborted.,2,0,twenties,female,australia,en,,6,FALSE,TRUE,common_voice_en_22281828.mp3,The heat experiment is then a body.
Amazon,It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.,2,0,twenties,female,australia,en,,13,FALSE,TRUE,common_voice_en_22946921.mp3,It was also equipped with a deactivating liquid tank and underbelly spraying apparatus.
Amazon,The ashtray was empty.,2,0,fourties,male,australia,en,,4,FALSE,TRUE,common_voice_en_15734560.mp3,The ashtray was empty.
Amazon,"""Because I've always heard about them,"" the boy answered, saying nothing about his dream.",3,0,twenties,male,australia,en,,14,FALSE,TRUE,common_voice_en_168236.mp3,"Because I've always heard about them, the boy answered, saying nothing about history."
Amazon,The diploma is awarded upon successful completion of a course which includes four units.,2,1,twenties,male,australia,en,,14,FALSE,TRUE,common_voice_en_19871717.mp3,"The diploma is awarded upon successful completion of the course, which includes four units."
Amazon,A new limit to the number of pets allowed per owner was also added.,3,0,teens,other,australia,en,,14,FALSE,TRUE,common_voice_en_18974994.mp3,A new limit to the number of pets allowed pet owner was also added.
Amazon,We are only servants.,2,0,fourties,male,australia,en,,4,FALSE,TRUE,common_voice_en_18545816.mp3,We are all my servants.
Amazon,Marin has been slightly more competitive when voting for governor.,2,0,fifties,male,australia,en,,10,FALSE,TRUE,common_voice_en_19943217.mp3,Marron has been slightly more competitive when voting for governor.
Amazon,"Dwayne won the Silver Ermita award, in Colombia, as a vocal soloist.",2,0,twenties,male,australia,en,,12,FALSE,TRUE,common_voice_en_21636766.mp3,Dwayne won the silver A meter award in Colombia as a vocal soloist.
Amazon,"This has not stopped fans from creating a set of ""Rules For Dragon Poker"".",2,0,teens,male,australia,en,,14,FALSE,TRUE,common_voice_en_19455843.mp3,This has not stopped fans from creating a set of rules that Dragon Poker.
Amazon,The episodes are viewed in the same way as the comics are released.,2,0,twenties,female,australia,en,,13,FALSE,TRUE,common_voice_en_22298703.mp3,The episodes are veered in the same way as the comics are released.
Amazon,Mountain Pointe is a part of the Tempe Union High School District.,2,0,twenties,male,australia,en,,12,FALSE,TRUE,common_voice_en_19676189.mp3,Mountain Point is a part of the Temp Union High School District.
Amazon,This term applies to opposite points on a circle or any n-sphere.,2,0,teens,other,australia,en,,12,FALSE,TRUE,common_voice_en_20768932.mp3,This term applies to officer points on a circle or any atmosphere.
Amazon,"Today there are attempts to develop the work of local artisans, especially in ceramics.",2,0,teens,other,australia,en,,14,FALSE,TRUE,common_voice_en_20934336.mp3,"Today there was attempts to develop the work of local artisans, especially in ceramics."
Amazon,The Mayor is elected for four-year terms.,2,0,fourties,male,australia,en,,7,FALSE,TRUE,common_voice_en_22236698.mp3,The mayor is elected for four year terms.
Amazon,The phone call got interrupted due to unknown reasons.,2,0,fourties,male,australia,en,,9,FALSE,TRUE,common_voice_en_15734626.mp3,The phone call got interrupted due to unknown reasons.
Amazon,"He played Legion baseball in Oxford, Pennsylvania.",2,0,teens,other,australia,en,,7,FALSE,TRUE,common_voice_en_20357673.mp3,He played legion baseball in oxford pennsylvania.
Amazon,"The band also played for Aitken on his single, ""Rudi Got Married"".",2,1,twenties,female,australia,en,,12,FALSE,TRUE,common_voice_en_22319685.mp3,The Shadows at like the item and a single greedy but married.
Amazon,"Ecco's name was suggested by Halpern's initial backer, ketchup heiress Drue Heinz.",2,0,seventies,female,australia,en,,12,FALSE,TRUE,common_voice_en_19794290.mp3,"Echoes name was suggested by Halpern's initial backer, ketchup heiress Drew Hinds."
Amazon,"For this, he was named a Disney Legend.",2,0,teens,other,australia,en,,8,FALSE,TRUE,common_voice_en_19018878.mp3,For this he was named Disney Legend.
Amazon,The Monday to Friday off-peak service is two trains per hour each way.,2,0,teens,other,australia,en,,13,FALSE,TRUE,common_voice_en_19081425.mp3,The Monday to Friday of Peak Services two trains per hour each way.
Amazon,Will you marry me?,2,0,thirties,male,australia,en,,4,FALSE,TRUE,common_voice_en_17277871.mp3,Will You marry Me?
Amazon,Roberts Media is wholly owned by veteran broadcaster Larry Roberts.,2,0,twenties,male,australia,en,,10,FALSE,TRUE,common_voice_en_21636854.mp3,Roberts Media is wholly owned by veteran broadcaster Larry roberts.
Amazon,Can maths explain everything?,2,0,teens,other,australia,en,,4,FALSE,TRUE,common_voice_en_18458792.mp3,Can Mats explain everything?
Amazon,"I didn't find the blow-dryer, so I just used the vacuum-cleaner.",2,1,fourties,female,australia,en,,11,FALSE,TRUE,common_voice_en_212902.mp3,I didn't find the blow dryer so I just used the vacuum.
Amazon,Dwelly was nonetheless eager to express his gratitude to those who assisted him.,2,0,thirties,other,australia,en,,13,FALSE,TRUE,common_voice_en_22777441.mp3,"Well, he was nonetheless eager to express his gratitude to those who assisted him."
Amazon,The stadium has since been heavily damaged by looters.,2,0,teens,other,australia,en,,9,FALSE,TRUE,common_voice_en_19429298.mp3,The stadium has since been heavily damaged by looters.
Amazon,"In the early history of Islam, Hanafi doctrine was not fully compiled.",2,0,twenties,female,australia,en,,12,FALSE,TRUE,common_voice_en_23733153.mp3,In the early history of esteban Hanafi doctrine was not fully compliant.
